wage,education,experience,female
45.2,16,5,0
38.7,14,3,1
52.3,18,8,0
41.9,15,4,1
49.8,17,7,0
36.4,13,2,1
55.1,19,10,0
43.2,16,6,1
47.6,17,8,0
40.1,14,3,1
58.9,20,12,0
44.8,16,5,1
51.2,18,9,0
39.5,15,4,1
53.7,19,11,0
42.3,15,5,1
48.9,17,7,0
37.8,13,2,1
56.4,20,13,0
45.6,16,6,1
50.1,18,8,0
41.2,14,4,1
54.3,19,10,0
43.9,16,5,1
49.3,17,7,0
38.9,14,3,1
57.2,20,11,0
44.1,15,4,1
52.8,18,9,0
40.7,15,5,1
55.6,19,12,0
46.3,17,7,1
48.2,17,6,0
39.8,14,3,1
53.1,18,8,0
42.7,15,4,1
50.9,18,9,0
37.3,13,2,1
56.8,20,12,0
45.1,16,6,1
51.7,18,10,0
40.4,14,3,1
54.9,19,11,0
43.6,16,5,1
49.7,17,8,0
38.2,13,2,1
57.8,20,13,0
44.5,15,5,1
52.4,18,9,0
41.6,15,4,1
